_id,商店名称,价格,商品链接,购买人数,商品,城市
5d391ca5c987ddf6abd30ee3,透明风朝雨暮阳专卖店,118.00,https://https://click.simba.taobao.com/cc_im?p=%C0%BA%C7%F2%B7%FE&s=1822931154&k=641&e=5UkOpHtrMD8PfJwwNgJRcEoCw%2FAUF6riHJR9OSDv7v5UaCEzux3m9UNNiqhM3HM0Tf2dI4F4o5RUaTJG4sgD6r5I7aFlGupP2sJ2jGjxjeW%2FgmJsFwG7U9lsYCImWnNJGqPMexxrxfvxwO1osYcufkpBfLrDVEBJ8snALFR7BYrI2Rgf49xpQ6NgzQ%2FWIk9l%2F8mlKtU2A%2BTZ5sqhePI0U%2Fx%2FmyPJ5y3lrJq8kIWM9ESvJ9ZyqCb3fddvlFF5MMaXSU%2BB2YmzdLBI%2FP873Ah%2ByyE3zUvnOswBjScAWn3xwi%2BJXR8HEmABAkdUvZwGiXns%2FOZfeg3ZcNqcLmY4x3fOzC8wpCijjEsK7woWXRvVlqjan6PwUHMn8yj14hhTDOaIOwZyucJEfhkTUiz8M63mCqamJSJkHdrrKPC2aHRiAS1Gme%2Bq5tmxzxpIe28DjvPx%2Boij3SomXTnTk37r0RheN%2FVHfzc4GCttmgdRSQdhqN%2BawQrQmqZ5zrPSl4dAyZmujoBtrcIvXPm9AidX2LizuOarHNye1MnapqYlImQd2uuCirot21p1GPcKxCNBxiXT6V%2BPwPrmerJVSp482o5jQ5cconSj4ElJco7tOaS9RZ7lpJHpbOxZ6xrD%2Bmbih08z,1565人付款,透明风篮球服套装男定制比赛队服团购运动训练背心球衣篮球男印字,广东 广州
5d391ca5c987ddf6abd30ee4,迅飞旗舰店,45.00,https:////detail.tmall.com/item.htm?id=561567445908&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6,1.0万+人付款,篮球服套装男球衣定制夏季大学生运动比赛训练篮球衣队服背心印字,广东 广州
5d391ca5c987ddf6abd30ee5,迪卡侬旗舰店,29.90,https:////detail.tmall.com/item.htm?id=39997066537&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=6,2767人付款,迪卡侬篮球服 无袖运动背心男士宽松速干训练比赛球衣夏季TARMAK,上海
5d391ca5c987ddf6abd30ee6,腾澳运动专营店,65.00,https:////detail.tmall.com/item.htm?id=572252206852&ns=1&abbucket=6,3028人付款,双面篮球服套装男背心定制学生比赛球衣透气印字号个性运动训练服,福建 福州
5d391ca6c987ddf6abd30ee7,赛高旗舰店,46.00,https:////detail.tmall.com/item.htm?id=521474560596&ns=1&abbucket=6,2.0万+人付款,赛高球衣篮球服套装男大学生短袖球服篮球男套装定制印字队服背心,广东 广州
5d391ca6c987ddf6abd30ee8,迅飞旗舰店,89.00,https:////detail.tmall.com/item.htm?id=547803916453&ns=1&abbucket=6,1993人付款,球衣篮球服套装男夏季比赛运动篮球训练队服定制球衣背心团购印字,广东 广州
5d391ca6c987ddf6abd30ee9,透明风朝雨暮阳专卖店,118.00,https:////detail.tmall.com/item.htm?id=568282539155&ns=1&abbucket=6,1565人付款,透明风篮球服套装男定制比赛队服团购运动训练背心球衣篮球男印字,广东 广州
5d391ca6c987ddf6abd30eea,anta官方旗舰店,109.00,https:////detail.tmall.com/item.htm?id=593979850286&ns=1&abbucket=6,2853人付款,安踏篮球运动套装男士要疯比赛套官网2019夏运动服短袖短裤两件套,福建 泉州
5d391ca6c987ddf6abd30eeb,章韩旗舰店,49.00,https:////detail.tmall.com/item.htm?id=593740110881&ns=1&abbucket=6,582人付款,新款篮球服团购印字球服少年比赛训练服球衣定制队服篮球服男套装,广东 广州
5d391ca7c987ddf6abd30eec,李宁官方网络旗舰店,139.00,https:////detail.tmall.com/item.htm?id=584785932841&ns=1&abbucket=6,2978人付款,李宁篮球比赛套装男士2019新款篮球系列篮球服针织运动服AATP001,上海
