用户,文本内容,图片,视频,采集日期
人民日报,【习近平宣布：#港珠澳大桥正式开通#】港珠澳大桥开通仪式23日上午在广东珠海举行。习近平出席仪式并宣布大桥正式开通。港珠澳大桥跨越伶仃洋，东接香港，西接广东珠海和澳门，总长约55公里，是粤港澳三地首次合作共建的超大型跨海交通工程。 ​,1540288624526.jpg/1540288624527.jpg/1540288624528.jpg/1540288624530.jpg/1540288624532.jpg/1540288624533.jpg/1540288624534.jpg/1540288624535.jpg/1540288624537.jpg/,,2018-10-23
央视新闻,#桥通港珠澳#【震撼！180秒视频，带你回顾港珠澳大桥9年建设】2009年12月，港珠澳大桥正式开工建设；2010年8月，珠澳口岸人工岛填海工程抛石出水；2011年5月，西人工岛首个大型钢圆管振沉……今天，港珠澳大桥正式开通，明天上午9时将正式通车运营！戳↓看大桥9年建设，向超级工程建设者致敬！L央视新闻的秒拍视频 收起全文d,,1540288624541.mp4,2018-10-23
人民日报,【中国“超级工程”！港珠澳大桥技术牛在哪？】#港珠澳大桥正式开通#，长达55公里的桥，究竟怎么建？在大海里建两座10万平方米的人工岛，怎么做到的？用巨型沉管建6.7公里海底隧道，每个标准管节重约8万吨，如何沉降？戳视频↓↓看“基建狂魔”怎么解决这些“世界性难题”。L人民日报的秒拍视频点赞！ ​,,1540288624545.mp4,2018-10-23
,港珠澳大桥开通仪式23日上午在广东珠海举行。习近平出席仪式并宣布大桥正式开通。港珠澳大桥跨越伶仃洋，东接香港，西接广东珠海和澳门，总长约55公里...,,,2018-10-23
,​港珠澳大桥开通仪式于23日上午在广东珠海举行。习近平出席仪式并宣布大桥正式开通。港珠澳大桥跨越伶仃洋，东接香港，西接广东珠海和澳门，总长约55公里...,,,2018-10-23
,10月24日上午9时港珠澳大桥将正式通车运营！ 港珠澳大桥——全长55公里，是世界最长的跨海大桥，将于10月23日上午9时在港珠澳大桥珠海口岸旅检大楼举行开通仪式...,,,2018-10-23
短发V,一张超长的图带你领略珠港澳大桥—世界第一跨海大桥的雄姿！『港珠澳大桥正式开通：一图看懂港珠澳大桥』O网页链接 ​,,,2018-10-23
赵卓文,发表了博文《港珠澳大桥开通，催热珠江西岸房地产》港珠澳大桥开通，催热珠江西岸房地产赵卓文（广州市同创卓越房地产投资顾问有限公司总经理）港珠澳大桥于23日举行开通仪式，24日正式通车。这项备受瞩目的世界O港珠澳大桥开通，催热珠江西岸房地产 ​,,,2018-10-23
请叫我西西比,发布了头条文章：《振奋人心！港珠澳大桥通车在即，绝美风光提前看#港珠澳大桥正式开通#》  O振奋人心！港珠澳大桥通车在即，绝美风光提前看#港珠澳大桥正式开通# ​,,,2018-10-23
1986rosemary,#港珠澳大桥正式开通#厉害了我的国 2漳州 · 霞寨镇 L1986rosemary的微博视频 ​,,1540288624557.mp4,2018-10-23
zhtangtang,时间太短，天涯太远，珠海刚好#港珠澳大桥正式开通# ​,1540288624563.jpg/1540288624563.jpg/1540288624567.jpg/1540288624569.jpg/1540288624572.jpg/1540288624574.jpg/1540288624577.jpg/1540288624581.jpg/1540288624582.jpg/,,2018-10-23
中新视频,【#中华白海豚# 海面欢腾献舞“贺”港珠澳大桥 正式开通】10月23日上午10时，港珠澳大桥正式开通后，正在东人工岛附近水域值守警戒的广东海事局海巡船与数头中华白海豚不期而遇，5头海豚从海巡船头向大桥方向欢腾起舞。  (郭军 梁宗盛)L中新视频的秒拍视频 ​,,1540288624588.mp4,2018-10-23
中国侨都-新会三江,【正式开通】震撼航拍来了！你好，港珠澳大桥！O网页链接 ​,,,2018-10-23
小柴犬嘟噜噜,#港珠澳大桥正式开通##港珠澳大桥正式通车# L小柴犬嘟噜噜的微博视频 ​,,1540288624597.mp4,2018-10-23
汝州发布,【中国那些事儿】港珠澳大桥正式开通 外媒：为地区发展带来新希望 - 中国日报网  O【中国那些事儿】港珠澳大桥正式开通 外媒：为地区发展带来新希望 ​,1540288624603.jpg/,,2018-10-23
飛天伙屎,世界之最 #港珠澳大桥#  正式开通！🎉👏🏼 L飛天伙屎的秒拍视频 ​,,1540288624608.mp4,2018-10-23
耳机帝,#港珠澳大桥正式开通# 明天我要上去走走 2深圳·广东·珠海 ​,1540288624611.jpg/,,2018-10-23
香港资本,今天港珠澳大橋正式開通，看不出對未來香港經濟會有多大幫助，因為香港交通本來已經很發達了。未來不知道，只知道今天港股一下子跌了超過800點，一個小股災給大橋典禮曾興。 ​,,,2018-10-23
